Account Number,Meter ID,Billing Start,Billing End,kWh,Unit,Tariff,Service Address
U-1061,MTR-BLR-019,2026-02-11,2026-03-10,113739,kWh,Commercial,Factory London
U-1062,MTR-LON-020,2026-02-12,2026-03-13,107107,kWh,Green Supply,Factory London
U-1063,MTR-SFO-006,2026-02-13,2026-03-16,90175,kWh,Green Supply,Warehouse Bangalore
U-1064,MTR-DEL-013,2026-02-14,2026-03-30,116322,kWh,Green Supply,Office Mumbai
U-1065,MTR-DEL-009,2026-02-15,2026-03-15,104209,kWh,HT Industrial,Plant Delhi
U-1066,MTR-BLR-023,2026-02-16,2026-03-18,135890,kWh,General Service,Office Mumbai
U-1067,MTR-DEL-010,2026-02-17,2026-03-17,81571,kWh,Green Supply,Plant Delhi
U-1068,MTR-MUM-014,2026-02-18,2026-03-20,136999,kWh,Time of Use,Factory London
U-1069,MTR-BLR-016,2026-02-19,2026-03-22,43095,kWh,Green Supply,Warehouse Bangalore
U-1070,MTR-DEL-023,2026-02-20,2026-03-21,53602,kWh,Time of Use,Plant Delhi
U-1071,MTR-SFO-010,2026-02-21,2026-03-20,32248,kWh,HT Industrial,Plant Delhi
U-1072,MTR-SFO-019,2026-02-22,2026-03-22,172617,kWh,General Service,Lab San Francisco
U-1073,MTR-SFO-001,2026-02-23,2026-03-23,30849,kWh,Time of Use,Lab San Francisco
U-1074,MTR-BLR-010,2026-02-24,2026-04-09,17846,kWh,HT Industrial,Plant Delhi
U-1075,MTR-LON-020,2026-02-25,2026-03-24,23646,kWh,Commercial,Plant Delhi
U-1076,MTR-MUM-009,2026-02-26,2026-03-25,169713,kWh,Time of Use,Factory London
U-1077,MTR-DEL-012,2026-02-27,2026-03-28,999999999,kWh,Time of Use,Factory London
U-1078,MTR-DEL-013,2026-02-28,2026-03-31,114465,kWh,General Service,Office Mumbai
U-1079,MTR-LON-025,2026-03-01,2026-03-29,49617,kWh,General Service,Plant Delhi
U-1080,MTR-DEL-023,2026-03-02,2026-03-30,17877,kWh,Time of Use,Office Mumbai
U-1081,MTR-DEL-020,2026-03-03,2026-04-16,141422,kWh,Time of Use,Factory London
U-1082,MTR-MUM-016,2026-03-04,2026-04-17,2413,kWh,HT Industrial,Factory London
U-1083,MTR-DEL-024,2026-03-05,2026-04-01,153386,kWh,Green Supply,Lab San Francisco
U-1084,MTR-MUM-008,2026-03-06,2026-04-19,95287,kWh,Time of Use,Warehouse Bangalore
U-1085,MTR-DEL-021,2026-03-07,2026-04-06,75644,kWh,Time of Use,Office Mumbai
U-1086,MTR-LON-012,2026-03-08,2026-04-05,81277,kWh,Green Supply,Plant Delhi
U-1087,MTR-LON-005,2026-03-09,2026-04-06,101352,kWh,HT Industrial,Office Mumbai
U-1088,MTR-MUM-002,2026-03-10,2026-04-23,76724,kWh,Green Supply,Factory London
U-1089,MTR-DEL-017,2026-03-11,2026-04-11,164183,kWh,HT Industrial,Factory London
U-1090,MTR-MUM-024,2026-03-12,2026-04-25,45800,kWh,Green Supply,Warehouse Bangalore
U-1091,MTR-LON-015,2026-03-13,2026-04-10,61853,kWh,HT Industrial,Lab San Francisco
U-1092,MTR-SFO-025,2026-03-14,2026-04-27,114853,kWh,HT Industrial,Lab San Francisco
U-1093,MTR-BLR-002,2026-03-15,2026-04-14,63252,kWh,Time of Use,Office Mumbai
U-1094,MTR-MUM-025,2026-03-16,2026-04-14,60565,kWh,Green Supply,Office Mumbai
U-1095,MTR-DEL-023,2026-03-17,2026-04-13,144020,kWh,General Service,Plant Delhi
U-1096,MTR-SFO-023,2026-03-18,2026-05-01,52844,kWh,General Service,Office Mumbai
U-1097,MTR-MUM-015,2026-03-19,2026-04-18,156142,kWh,HT Industrial,Warehouse Bangalore
U-1098,MTR-BLR-011,2026-03-20,2026-04-20,79591,kWh,HT Industrial,Warehouse Bangalore
U-1099,MTR-BLR-001,2026-03-21,2026-04-20,135788,kWh,Green Supply,Warehouse Bangalore
U-1100,MTR-MUM-021,2026-03-22,2026-05-05,99350,kWh,Time of Use,Lab San Francisco
U-1101,MTR-LON-013,2026-03-23,2026-04-21,28639,kWh,Time of Use,Factory London
U-1102,MTR-BLR-009,2026-03-24,2026-04-24,14598,kWh,Time of Use,Factory London
U-1103,MTR-BLR-020,2026-03-25,2026-04-23,21601,kWh,Commercial,Factory London
U-1104,MTR-DEL-022,2026-03-26,2026-05-09,158872,kWh,Green Supply,Plant Delhi
U-1105,MTR-SFO-015,2026-03-27,2026-04-26,5642,kWh,General Service,Warehouse Bangalore
U-1106,MTR-DEL-019,2026-03-28,2026-04-25,135799,kWh,HT Industrial,Plant Delhi
U-1107,MTR-DEL-023,2026-03-29,2026-04-25,166970,kWh,General Service,Factory London
U-1108,MTR-MUM-004,2026-03-30,2026-04-30,2364,kWh,Green Supply,Lab San Francisco
U-1109,MTR-BLR-010,2026-03-31,2026-04-28,164187,kWh,Green Supply,Office Mumbai
U-1110,MTR-BLR-001,2026-04-01,2026-05-15,82306,kWh,HT Industrial,Lab San Francisco
U-1111,MTR-DEL-024,2026-04-02,2026-04-30,39241,kWh,Commercial,Plant Delhi
U-1112,MTR-MUM-021,2026-04-03,2026-05-01,134867,kWh,HT Industrial,Factory London
U-1113,MTR-BLR-002,2026-04-04,2026-05-05,5593,kWh,Time of Use,Lab San Francisco
U-1114,MTR-LON-017,2026-04-05,2026-05-03,45870,kWh,Commercial,Warehouse Bangalore
U-1115,MTR-DEL-019,2026-04-06,2026-05-04,129851,kWh,Commercial,Office Mumbai
U-1116,MTR-BLR-010,2026-04-07,2026-05-06,36344,kWh,HT Industrial,Factory London
U-1117,MTR-BLR-003,2026-04-08,2026-05-05,135320,kWh,General Service,Lab San Francisco
U-1118,MTR-BLR-008,2026-04-09,2026-05-23,21479,kWh,General Service,Lab San Francisco
U-1119,MTR-BLR-010,2026-04-10,2026-05-24,156061,kWh,General Service,Warehouse Bangalore
U-1120,MTR-BLR-003,2026-04-11,2026-05-25,43132,kWh,Commercial,Warehouse Bangalore
U-1121,MTR-SFO-021,2026-04-12,2026-05-10,131745,kWh,Time of Use,Factory London
U-1122,MTR-LON-003,2026-04-13,2026-05-13,31436,kWh,General Service,Lab San Francisco
U-1123,MTR-DEL-006,2026-04-14,2026-05-14,21375,kWh,General Service,Plant Delhi
U-1124,MTR-BLR-001,2026-04-15,2026-05-16,104983,kWh,Commercial,Plant Delhi
U-1125,MTR-BLR-005,2026-04-16,2026-05-14,168723,kWh,Green Supply,Office Mumbai
U-1126,MTR-DEL-011,2026-04-17,2026-05-31,46931,kWh,Time of Use,Office Mumbai
U-1127,MTR-SFO-006,2026-04-18,2026-06-01,93753,kWh,Time of Use,Office Mumbai
U-1128,MTR-DEL-020,2026-04-19,2026-05-19,34520,kWh,Green Supply,Plant Delhi
U-1129,MTR-SFO-012,2026-04-20,2026-06-03,13560,kWh,Time of Use,Lab San Francisco
U-1130,MTR-LON-005,2026-04-21,2026-05-22,167109,kWh,Green Supply,Office Mumbai
U-1131,MTR-SFO-017,2026-04-22,2026-05-21,43452,kWh,Commercial,Office Mumbai
U-1132,MTR-BLR-001,2026-04-23,2026-05-24,118725,kWh,HT Industrial,Warehouse Bangalore
U-1133,MTR-MUM-016,2026-04-24,2026-05-24,66459,kWh,Time of Use,Plant Delhi
U-1134,MTR-SFO-001,2026-04-25,2026-05-26,55700,kWh,Green Supply,Office Mumbai
U-1135,MTR-LON-019,2026-04-26,2026-05-24,38146,kWh,HT Industrial,Plant Delhi
U-1136,MTR-DEL-001,2026-04-27,2026-05-27,172805,kWh,General Service,Warehouse Bangalore
U-1137,MTR-SFO-022,2026-04-28,2026-05-25,167645,kWh,Green Supply,Factory London
U-1138,MTR-LON-021,2026-04-29,2026-05-27,114076,kWh,Green Supply,Factory London
U-1139,MTR-BLR-021,2026-04-30,2026-05-29,133223,kWh,General Service,Lab San Francisco
U-1140,MTR-SFO-023,2026-05-01,2026-05-31,127659,kWh,HT Industrial,Office Mumbai
U-1141,MTR-BLR-004,2026-05-02,2026-06-01,61558,kWh,Commercial,Office Mumbai
U-1142,MTR-BLR-003,2026-05-03,2026-05-31,131595,kWh,Green Supply,Lab San Francisco
U-1143,MTR-BLR-007,2026-05-04,2026-05-31,48445,kWh,General Service,Lab San Francisco
U-1144,MTR-BLR-017,2026-05-05,2026-06-03,14804,kWh,Green Supply,Lab San Francisco
U-1145,MTR-LON-012,2026-05-06,2026-06-19,75996,kWh,Green Supply,Factory London
U-1146,MTR-DEL-022,2026-05-07,2026-06-03,160531,kWh,Green Supply,Lab San Francisco
U-1147,MTR-LON-021,2026-05-08,2026-06-04,40330,kWh,HT Industrial,Factory London
U-1148,MTR-MUM-002,2026-05-09,2026-06-09,165790,kWh,Commercial,Office Mumbai
U-1149,MTR-SFO-013,2026-05-10,2026-06-10,9551,kWh,General Service,Lab San Francisco
U-1150,MTR-DEL-021,2026-05-11,2026-06-09,41610,kWh,Time of Use,Warehouse Bangalore
U-1151,MTR-MUM-005,2026-05-12,2026-06-11,86030,kWh,HT Industrial,Factory London
U-1152,MTR-SFO-015,2026-05-13,2026-06-26,64462,kWh,Green Supply,Warehouse Bangalore
U-1153,MTR-MUM-011,2026-05-14,2026-06-10,20795,kWh,HT Industrial,Plant Delhi
U-1154,MTR-BLR-017,2026-05-15,2026-06-11,117090,kWh,Time of Use,Office Mumbai
U-1155,MTR-MUM-009,2026-05-16,2026-06-29,102737,kWh,Green Supply,Office Mumbai
U-1156,MTR-BLR-023,2026-05-17,2026-06-16,65078,kWh,HT Industrial,Plant Delhi
U-1157,MTR-LON-017,2026-05-18,2026-06-17,118949,kWh,Time of Use,Office Mumbai
U-1158,MTR-SFO-002,2026-05-19,2026-06-17,158678,kWh,General Service,Lab San Francisco
U-1159,MTR-SFO-001,2026-05-20,2026-06-20,11249,kWh,Green Supply,Plant Delhi
U-1160,MTR-MUM-013,2026-05-21,2026-07-04,104601,kWh,Green Supply,Lab San Francisco
U-1161,MTR-DEL-007,2026-05-22,2026-07-05,135188,kWh,Commercial,Plant Delhi
U-1162,MTR-LON-022,2026-05-23,2026-06-20,75189,kWh,General Service,Warehouse Bangalore
U-1163,MTR-SFO-018,2026-05-24,2026-06-21,627,kWh,HT Industrial,Lab San Francisco
U-1164,MTR-BLR-014,2026-05-25,2026-06-22,58933,kWh,HT Industrial,Lab San Francisco
U-1165,MTR-LON-025,2026-05-26,2026-06-25,31684,kWh,Time of Use,Office Mumbai
U-1166,MTR-SFO-004,2026-05-27,2026-07-10,4904,kWh,Commercial,Lab San Francisco
U-1167,MTR-DEL-008,2026-05-28,2026-07-11,51007,kWh,Commercial,Lab San Francisco
U-1168,MTR-LON-022,2026-05-29,2026-06-25,50025,kWh,Time of Use,Office Mumbai
U-1169,MTR-SFO-006,2026-05-30,2026-06-27,27758,kWh,Commercial,Factory London
U-1170,MTR-DEL-014,2026-05-31,2026-07-14,57803,kWh,Commercial,Lab San Francisco
U-1171,MTR-SFO-002,2026-06-01,2026-06-30,7679,kWh,Time of Use,Lab San Francisco
U-1172,MTR-SFO-010,2026-06-02,2026-07-03,164470,kWh,General Service,Plant Delhi
U-1173,MTR-MUM-014,2026-06-03,2026-07-04,141970,kWh,Time of Use,Lab San Francisco
U-1174,MTR-BLR-005,2026-06-04,2026-07-05,121352,kWh,Commercial,Warehouse Bangalore
U-1175,MTR-DEL-018,2026-06-05,2026-07-19,153030,kWh,Green Supply,Lab San Francisco
U-1176,MTR-LON-001,2026-06-06,2026-07-03,163156,kWh,Commercial,Lab San Francisco
U-1177,MTR-MUM-024,2026-06-07,2026-07-05,173873,kWh,General Service,Factory London
U-1178,MTR-DEL-013,2026-06-08,2026-07-06,151627,kWh,HT Industrial,Factory London
U-1179,MTR-BLR-011,2026-06-09,2026-07-07,8306,kWh,Green Supply,Factory London
U-1180,MTR-SFO-017,2026-06-10,2026-07-11,108842,kWh,Commercial,Plant Delhi
U-1181,MTR-DEL-009,2026-06-11,2026-07-09,142423,kWh,Green Supply,Lab San Francisco
U-1182,MTR-LON-022,2026-06-12,2026-07-09,149916,kWh,Time of Use,Lab San Francisco
U-1183,MTR-DEL-006,2026-06-13,2026-07-13,125864,kWh,Green Supply,Factory London
U-1184,MTR-SFO-022,2026-06-14,2026-07-28,160637,kWh,General Service,Factory London
U-1185,MTR-SFO-006,2026-06-15,2026-07-14,71571,kWh,Time of Use,Lab San Francisco
U-1186,MTR-MUM-020,2026-06-16,2026-07-13,31577,kWh,Time of Use,Plant Delhi
U-1187,MTR-BLR-019,2026-06-17,2026-07-14,27852,kWh,Time of Use,Warehouse Bangalore
U-1188,MTR-BLR-017,2026-06-18,2026-07-18,46070,kWh,Time of Use,Factory London
U-1189,MTR-LON-020,2026-06-19,2026-07-17,3982,kWh,HT Industrial,Lab San Francisco
U-1190,MTR-MUM-018,2026-06-20,2026-08-03,12300,kWh,Green Supply,Warehouse Bangalore
U-1191,MTR-BLR-014,2026-06-21,2026-07-20,132020,kWh,Commercial,Warehouse Bangalore
U-1192,MTR-DEL-021,2026-06-22,2026-07-19,34519,kWh,Green Supply,Warehouse Bangalore
U-1193,MTR-DEL-021,2026-06-23,2026-07-23,97724,kWh,HT Industrial,Office Mumbai
U-1194,MTR-LON-025,2026-06-24,2026-07-22,127824,kWh,Commercial,Warehouse Bangalore
U-1195,MTR-LON-015,2026-06-25,2026-07-22,31724,kWh,Time of Use,Warehouse Bangalore
U-1196,MTR-LON-019,2026-06-26,2026-07-25,17890,kWh,Green Supply,Factory London
U-1197,MTR-DEL-021,2026-06-27,2026-07-25,142238,kWh,Green Supply,Factory London
U-1198,MTR-SFO-002,2026-06-28,2026-07-28,95905,kWh,General Service,Factory London
U-1199,MTR-MUM-007,2026-06-29,2026-07-27,122049,kWh,Green Supply,Plant Delhi
U-1200,MTR-MUM-016,2026-01-01,2026-02-14,150022,kWh,Time of Use,Factory London
U-1201,MTR-DEL-025,2026-01-02,2026-01-29,92535,kWh,Time of Use,Factory London
U-1202,MTR-LON-007,2026-01-03,2026-02-16,86984,kWh,Green Supply,Office Mumbai
U-1203,MTR-BLR-024,2026-01-04,2026-01-31,161012,kWh,General Service,Warehouse Bangalore
U-1204,MTR-MUM-019,2026-01-05,2026-02-03,169657,kWh,Green Supply,Lab San Francisco
U-1205,MTR-DEL-013,2026-01-06,2026-02-06,128503,kWh,Green Supply,Office Mumbai
U-1206,MTR-LON-004,2026-01-07,2026-02-06,41614,kWh,Commercial,Lab San Francisco
U-1207,MTR-MUM-012,2026-01-08,2026-02-04,130537,kWh,Commercial,Factory London
U-1208,MTR-BLR-006,2026-01-09,2026-02-05,85483,kWh,General Service,Plant Delhi
U-1209,MTR-DEL-011,2026-01-10,2026-02-10,16994,kWh,HT Industrial,Plant Delhi
U-1210,MTR-SFO-009,2026-01-11,2026-02-07,126508,kWh,Green Supply,Lab San Francisco
U-1211,MTR-SFO-008,2026-01-12,2026-02-09,30768,kWh,General Service,Warehouse Bangalore
U-1212,MTR-BLR-002,2026-01-13,2026-02-26,107237,kWh,Green Supply,Office Mumbai
U-1213,MTR-MUM-020,2026-01-14,2026-02-10,153955,kWh,Green Supply,Plant Delhi
U-1214,MTR-DEL-024,2026-01-15,2026-02-12,48203,kWh,Time of Use,Plant Delhi
U-1215,MTR-DEL-012,2026-01-16,2026-03-01,135178,kWh,General Service,Warehouse Bangalore
U-1216,MTR-LON-012,2026-01-17,2026-02-14,163956,kWh,Commercial,Warehouse Bangalore
U-1217,MTR-LON-009,2026-01-18,2026-02-17,67804,kWh,Time of Use,Office Mumbai
U-1218,MTR-LON-014,2026-01-19,2026-02-17,173085,kWh,Time of Use,Office Mumbai
U-1219,MTR-SFO-022,2026-01-20,2026-01-19,126529,kWh,Commercial,Factory London
U-1220,MTR-LON-016,2026-01-21,2026-02-21,129694,kWh,General Service,Warehouse Bangalore
U-1221,MTR-SFO-003,2026-01-22,2026-02-20,74225,kWh,Green Supply,Factory London
U-1222,MTR-BLR-015,2026-01-23,2026-02-19,119553,kWh,HT Industrial,Factory London
U-1223,MTR-BLR-025,2026-01-24,2026-02-23,146410,kWh,Green Supply,Lab San Francisco
U-1224,MTR-DEL-017,2026-01-25,2026-02-25,68500,kWh,HT Industrial,Factory London
U-1225,MTR-MUM-011,2026-01-26,2026-02-22,57450,kWh,Green Supply,Lab San Francisco
U-1226,MTR-DEL-025,2026-01-27,2026-02-27,43452,kWh,Green Supply,Factory London
U-1227,MTR-DEL-017,2026-01-28,2026-02-24,147130,kWh,Time of Use,Lab San Francisco
U-1228,MTR-MUM-020,2026-01-29,2026-02-26,7911,kWh,Green Supply,Lab San Francisco
U-1229,MTR-DEL-004,2026-01-30,2026-03-01,147896,kWh,General Service,Plant Delhi
U-1230,MTR-DEL-010,2026-01-31,2026-02-28,131271,kWh,Commercial,Plant Delhi
U-1231,MTR-BLR-003,2026-02-01,2026-03-01,106509,kWh,Time of Use,Lab San Francisco
U-1232,MTR-MUM-006,2026-02-02,2026-03-01,95891,kWh,Green Supply,Plant Delhi
U-1233,MTR-SFO-023,2026-02-03,2026-03-02,45466,kWh,Green Supply,Warehouse Bangalore
U-1234,MTR-LON-022,2026-02-04,2026-03-04,85220,kWh,HT Industrial,Lab San Francisco
U-1235,MTR-BLR-016,2026-02-05,2026-03-05,50450,kWh,Green Supply,Warehouse Bangalore
U-1236,MTR-BLR-013,2026-02-06,2026-03-09,75652,kWh,Commercial,Factory London
U-1237,MTR-SFO-003,2026-02-07,2026-03-23,48167,kWh,General Service,Warehouse Bangalore
U-1238,MTR-DEL-004,2026-02-08,2026-03-11,66741,kWh,HT Industrial,Warehouse Bangalore
U-1239,MTR-DEL-008,2026-02-09,2026-03-10,34892,kWh,HT Industrial,Office Mumbai
U-1240,MTR-DEL-006,2026-02-10,2026-03-10,48931,kWh,General Service,Plant Delhi
U-1241,MTR-MUM-015,2026-02-11,2026-03-14,41183,kWh,HT Industrial,Warehouse Bangalore
U-1242,MTR-SFO-018,2026-02-12,2026-03-13,126335,kWh,General Service,Factory London
U-1243,MTR-MUM-006,2026-02-13,2026-03-29,109934,kWh,Green Supply,Lab San Francisco
U-1244,MTR-DEL-025,2026-02-14,2026-03-14,6937,kWh,HT Industrial,Factory London
U-1245,MTR-LON-021,2026-02-15,2026-03-15,156551,kWh,Time of Use,Plant Delhi
U-1246,MTR-BLR-003,2026-02-16,2026-03-19,159870,kWh,Green Supply,Office Mumbai
U-1247,MTR-MUM-013,2026-02-17,2026-03-16,55987,kWh,Green Supply,Lab San Francisco
U-1248,MTR-DEL-015,2026-02-18,2026-03-19,139173,kWh,Time of Use,Plant Delhi
U-1249,MTR-LON-020,2026-02-19,2026-04-04,156216,kWh,Green Supply,Factory London
U-1250,MTR-SFO-010,2026-02-20,2026-03-23,161260,kWh,HT Industrial,Lab San Francisco
U-1251,MTR-DEL-009,2026-02-21,2026-03-22,85667,kWh,General Service,Warehouse Bangalore
U-1252,MTR-LON-018,2026-02-22,2026-03-21,133486,kWh,Time of Use,Lab San Francisco
U-1253,MTR-BLR-020,2026-02-23,2026-04-08,111936,kWh,Commercial,Lab San Francisco
U-1254,MTR-SFO-017,2026-02-24,2026-03-25,24023,kWh,General Service,Office Mumbai
U-1255,MTR-SFO-020,2026-02-25,2026-03-24,97954,kWh,Green Supply,Lab San Francisco
U-1256,MTR-LON-007,2026-02-26,2026-03-27,91080,kWh,General Service,Warehouse Bangalore
U-1257,MTR-DEL-007,2026-02-27,2026-04-12,66227,kWh,HT Industrial,Plant Delhi
U-1258,MTR-SFO-011,2026-02-28,2026-03-30,95429,kWh,Commercial,Lab San Francisco
U-1259,MTR-LON-005,2026-03-01,2026-03-31,159600,kWh,Green Supply,Warehouse Bangalore
U-1260,MTR-MUM-011,2026-03-02,2026-03-30,89164,kWh,Time of Use,Plant Delhi
U-1261,MTR-BLR-019,2026-03-03,2026-03-31,45916,kWh,General Service,Warehouse Bangalore
U-1262,MTR-LON-010,2026-03-04,2026-04-17,30961,kWh,Commercial,Warehouse Bangalore
U-1263,MTR-BLR-023,2026-03-05,2026-04-04,44354,kWh,Time of Use,Office Mumbai
U-1264,MTR-SFO-004,2026-03-06,2026-04-19,149568,kWh,Time of Use,Office Mumbai
U-1265,MTR-BLR-007,2026-03-07,2026-04-20,3235,kWh,HT Industrial,Factory London
U-1266,MTR-MUM-020,2026-03-08,2026-04-08,83271,kWh,Commercial,Office Mumbai
U-1267,MTR-MUM-011,2026-03-09,2026-04-07,112303,kWh,Green Supply,Warehouse Bangalore
U-1268,MTR-BLR-024,2026-03-10,2026-04-07,162317,kWh,Green Supply,Factory London
U-1269,MTR-MUM-023,2026-03-11,2026-04-11,50258,kWh,HT Industrial,Factory London
U-1270,MTR-MUM-003,2026-03-12,2026-04-10,21220,kWh,Commercial,Lab San Francisco
U-1271,MTR-MUM-005,2026-03-13,2026-04-09,105151,kWh,Commercial,Factory London
U-1272,MTR-SFO-019,2026-03-14,2026-04-13,163047,kWh,Time of Use,Plant Delhi
U-1273,MTR-SFO-008,2026-03-15,2026-04-15,151730,kWh,HT Industrial,Factory London
U-1274,MTR-LON-018,2026-03-16,2026-04-13,122474,kWh,Commercial,Warehouse Bangalore
U-1275,MTR-MUM-014,2026-03-17,2026-04-17,29313,kWh,Green Supply,Office Mumbai
U-1276,MTR-BLR-003,2026-03-18,2026-04-18,4056,kWh,Green Supply,Plant Delhi
U-1277,MTR-LON-011,2026-03-19,2026-04-17,166428,kWh,Time of Use,Office Mumbai
U-1278,MTR-LON-012,2026-03-20,2026-04-18,6772,kWh,Commercial,Lab San Francisco
U-1279,MTR-BLR-022,2026-03-21,2026-04-17,160407,kWh,Green Supply,Office Mumbai
U-1280,MTR-SFO-007,2026-03-22,2026-04-18,174522,kWh,Time of Use,Lab San Francisco
U-1281,MTR-BLR-014,2026-03-23,2026-04-21,147026,kWh,HT Industrial,Office Mumbai
U-1282,MTR-SFO-004,2026-03-24,2026-04-24,47201,kWh,Commercial,Lab San Francisco
U-1283,MTR-LON-017,2026-03-25,2026-04-22,86107,kWh,Green Supply,Plant Delhi
U-1284,MTR-DEL-018,2026-03-26,2026-05-09,35185,kWh,General Service,Warehouse Bangalore
U-1285,MTR-DEL-011,2026-03-27,2026-04-25,16907,kWh,Green Supply,Office Mumbai
U-1286,MTR-MUM-002,2026-03-28,2026-04-28,166513,kWh,Commercial,Factory London
U-1287,MTR-SFO-019,2026-03-29,2026-04-29,63730,kWh,General Service,Plant Delhi
U-1288,MTR-BLR-008,2026-03-30,2026-04-28,141385,kWh,Green Supply,Plant Delhi
U-1289,MTR-LON-010,2026-03-31,2026-04-30,1685,kWh,Time of Use,Warehouse Bangalore
U-1290,MTR-MUM-013,2026-04-01,2026-04-30,27621,kWh,Time of Use,Lab San Francisco
U-1291,MTR-MUM-007,2026-04-02,2026-04-30,21192,kWh,Commercial,Factory London
U-1292,MTR-MUM-020,2026-04-03,2026-04-30,8866,kWh,Time of Use,Office Mumbai
U-1293,MTR-SFO-019,2026-04-04,2026-05-04,52806,kWh,HT Industrial,Office Mumbai
U-1294,MTR-SFO-025,2026-04-05,2026-05-05,155221,kWh,Green Supply,Plant Delhi
U-1295,MTR-BLR-018,2026-04-06,2026-05-04,110701,kWh,HT Industrial,Lab San Francisco
U-1296,MTR-LON-003,2026-04-07,2026-05-08,159683,kWh,Green Supply,Office Mumbai
U-1297,MTR-SFO-005,2026-04-08,2026-05-07,132669,kWh,Time of Use,Warehouse Bangalore
U-1298,MTR-LON-002,2026-04-09,2026-05-09,154901,kWh,Green Supply,Lab San Francisco
U-1299,MTR-MUM-005,2026-04-10,2026-05-11,21437,kWh,Green Supply,Lab San Francisco
U-1300,MTR-LON-005,2026-04-11,2026-05-25,11430,kWh,Green Supply,Office Mumbai
U-1301,MTR-MUM-024,2026-04-12,2026-05-09,27615,kWh,General Service,Lab San Francisco
U-1302,MTR-BLR-012,2026-04-13,2026-05-14,116875,kWh,Time of Use,Factory London
U-1303,MTR-DEL-011,2026-04-14,2026-05-12,47487,kWh,Green Supply,Factory London
U-1304,MTR-BLR-013,2026-04-15,2026-05-16,84776,kWh,Time of Use,Factory London
U-1305,MTR-SFO-019,2026-04-16,2026-05-15,125165,kWh,Green Supply,Plant Delhi
U-1306,MTR-MUM-017,2026-04-17,2026-05-17,10516,kWh,Time of Use,Office Mumbai
U-1307,MTR-LON-011,2026-04-18,2026-05-19,133162,kWh,Commercial,Office Mumbai
U-1308,MTR-SFO-011,2026-04-19,2026-05-20,97965,kWh,Green Supply,Office Mumbai
U-1309,MTR-SFO-019,2026-04-20,2026-06-03,60843,kWh,Commercial,Factory London
U-1310,MTR-BLR-015,2026-04-21,2026-06-04,95847,kWh,HT Industrial,Plant Delhi
U-1311,MTR-MUM-005,2026-04-22,2026-06-05,84465,kWh,Time of Use,Warehouse Bangalore
U-1312,MTR-DEL-007,2026-04-23,2026-05-23,119118,kWh,HT Industrial,Office Mumbai
U-1313,MTR-BLR-025,2026-04-24,2026-05-24,42549,kWh,Green Supply,Lab San Francisco
U-1314,MTR-DEL-011,2026-04-25,2026-05-26,141092,kWh,General Service,Plant Delhi
U-1315,MTR-MUM-008,2026-04-26,2026-05-25,33093,kWh,General Service,Warehouse Bangalore
U-1316,MTR-MUM-022,2026-04-27,2026-05-24,11939,kWh,Time of Use,Office Mumbai
U-1317,MTR-SFO-005,2026-04-28,2026-05-28,62552,kWh,HT Industrial,Factory London
U-1318,MTR-SFO-020,2026-04-29,2026-06-12,72887,kWh,Green Supply,Plant Delhi
U-1319,MTR-LON-007,2026-04-30,2026-05-30,105457,kWh,Time of Use,Lab San Francisco
U-1320,MTR-BLR-006,2026-05-01,2026-05-29,42235,kWh,Green Supply,Office Mumbai
U-1321,MTR-BLR-002,2026-05-02,2026-05-31,141344,kWh,General Service,Lab San Francisco
U-1322,MTR-BLR-005,2026-05-03,2026-05-31,59069,kWh,HT Industrial,Office Mumbai
U-1323,MTR-LON-009,2026-05-04,2026-06-04,65393,kWh,Commercial,Office Mumbai
U-1324,MTR-BLR-017,2026-05-05,2026-06-03,134132,kWh,General Service,Warehouse Bangalore
U-1325,MTR-DEL-023,2026-05-06,2026-06-06,165317,kWh,HT Industrial,Factory London
U-1326,MTR-BLR-017,2026-05-07,2026-06-06,114092,kWh,Commercial,Office Mumbai
U-1327,MTR-MUM-008,2026-05-08,2026-06-07,160170,kWh,HT Industrial,Plant Delhi
U-1328,MTR-DEL-003,2026-05-09,2026-06-09,5695,kWh,Commercial,Lab San Francisco
U-1329,MTR-DEL-006,2026-05-10,2026-06-06,151,kWh,HT Industrial,Warehouse Bangalore
U-1330,MTR-MUM-002,2026-05-11,2026-06-08,109731,kWh,Green Supply,Plant Delhi
U-1331,MTR-DEL-002,2026-05-12,2026-06-11,147111,kWh,General Service,Lab San Francisco
U-1332,MTR-BLR-015,2026-05-13,2026-06-12,67445,kWh,General Service,Lab San Francisco
U-1333,MTR-SFO-025,2026-05-14,2026-06-10,102744,kWh,Commercial,Factory London
U-1334,MTR-LON-025,2026-05-15,2026-06-28,127590,kWh,Green Supply,Office Mumbai
U-1335,MTR-SFO-011,2026-05-16,2026-06-12,38843,kWh,General Service,Office Mumbai
U-1336,MTR-DEL-008,2026-05-17,2026-06-14,93042,kWh,HT Industrial,Warehouse Bangalore
U-1337,MTR-DEL-015,2026-05-18,2026-06-15,150563,kWh,Time of Use,Warehouse Bangalore
U-1338,MTR-MUM-009,2026-05-19,2026-06-17,53273,kWh,Time of Use,Lab San Francisco
U-1339,MTR-DEL-010,2026-05-20,2026-06-17,126250,kWh,General Service,Factory London
U-1340,MTR-SFO-017,2026-05-21,2026-06-20,103503,kWh,HT Industrial,Factory London
U-1341,MTR-DEL-018,2026-05-22,2026-06-19,75782,kWh,General Service,Warehouse Bangalore
