Trip ID,Category,Trip Date,From Airport,To Airport,Distance Km,Unit,Nights,Employee Region
T-001575,Flight,2026-05-16,BLR,LHR,7066,km,,UK
T-001576,Hotel,2026-05-17,,,,km,2,Singapore
T-001577,Hotel,2026-05-18,,,,km,2,UK
T-001578,Hotel,2026-05-19,,,,km,4,UAE
T-001579,Ground,2026-05-20,,,152,km,,UAE
T-001580,Flight,2026-05-21,DXB,SIN,,km,,UAE
T-001581,Hotel,2026-05-22,,,,km,10,US
T-001582,Ground,2026-05-23,,,103,km,,UAE
T-001583,Hotel,2026-05-24,,,,km,3,UAE
T-001584,Flight,2026-05-25,BOM,DEL,,km,,US
T-001585,Ground,2026-05-26,,,172,km,,India
T-001586,Ground,2026-05-27,,,116,km,,UK
T-001587,Hotel,2026-05-28,,,,km,6,Singapore
T-001588,Flight,2026-05-29,LHR,BOM,,km,,Singapore
T-001589,Ground,2026-05-30,,,69,km,,India
T-001590,Ground,2026-05-31,,,125,km,,US
T-001591,Ground,2026-06-01,,,153,km,,India
T-001592,Flight,2026-06-02,BLR,DXB,,km,,US
T-001593,Flight,2026-06-03,DEL,SIN,6112,km,,UAE
T-001594,Ground,2026-06-04,,,115,km,,UK
T-001595,Hotel,2026-06-05,,,,km,5,UK
T-001596,Hotel,2026-06-06,,,,km,12,India
T-001597,Ground,2026-06-07,,,123,km,,India
T-001598,Ground,2026-06-08,,,32,km,,UAE
T-001599,Flight,2026-06-09,BLR,DEL,10782,km,,US
T-001600,Flight,2026-06-10,DXB,SIN,,km,,Singapore
T-001601,Flight,2026-06-11,DEL,BOM,2050,km,,Singapore
T-001602,Hotel,2026-06-12,,,,km,1,US
T-001603,Ground,2026-06-13,,,166,km,,UAE
T-001604,Flight,2026-06-14,DEL,DXB,,km,,US
T-001605,Flight,2026-06-15,BOM,DXB,5337,km,,UK
T-001606,Flight,2026-06-16,BLR,DEL,2359,km,,India
T-001607,Flight,2026-06-17,DXB,SIN,2689,km,,Singapore
T-001608,Hotel,2026-06-18,,,,km,4,UK
T-001609,Hotel,2026-06-19,,,,km,6,Singapore
T-001610,Hotel,2026-06-20,,,,km,4,Singapore
T-001611,Ground,2026-06-21,,,67,km,,UK
T-001612,Flight,2026-06-22,SIN,JFK,,km,,US
T-001613,Flight,2026-06-23,BLR,JFK,3018,km,,UK
T-001614,Hotel,2026-06-24,,,,km,12,UAE
T-001615,Flight,2026-06-25,JFK,DXB,4893,km,,India
T-001616,Hotel,2026-06-26,,,,km,11,Singapore
T-001617,Ground,2026-06-27,,,144,km,,India
T-001618,Ground,2026-06-28,,,119,km,,UK
T-001619,Ground,2026-06-29,,,88,km,,Singapore
T-001620,Flight,2026-01-01,DEL,SFO,,km,,UK
T-001621,Ground,2026-01-02,,,139,km,,UAE
T-001622,Hotel,2026-01-03,,,,km,1,India
T-001623,Ground,2026-01-04,,,4,km,,US
T-001624,Flight,2026-01-05,DEL,DXB,,km,,US
T-001625,Flight,2026-01-06,LHR,BOM,3640,km,,India
T-001626,Ground,2026-01-07,,,75,km,,US
T-001627,Flight,2026-01-08,BOM,DEL,1818,km,,US
T-001628,Ground,2026-01-09,,,35,km,,UK
T-001629,Ground,2026-01-10,,,40,km,,US
T-001630,Ground,2026-01-11,,,94,km,,Singapore
T-001631,Ground,2026-01-12,,,117,km,,India
T-001632,Flight,2026-01-13,DEL,SFO,,km,,India
T-001633,Ground,2026-01-14,,,166,km,,US
T-001634,Hotel,2026-01-15,,,,km,1,US
T-001635,Flight,2026-01-16,BLR,SIN,11852,km,,Singapore
T-001636,Flight,2026-01-17,BLR,JFK,,km,,UAE
T-001637,Flight,2026-01-18,SFO,BLR,7128,km,,Singapore
T-001638,Hotel,2026-01-19,,,,km,2,UAE
T-001639,Ground,2026-01-20,,,11,km,,India
T-001640,Ground,2026-01-21,,,170,km,,Singapore
T-001641,Flight,2026-01-22,BOM,JFK,10188,km,,US
T-001642,Hotel,2026-01-23,,,,km,3,India
T-001643,Flight,2026-01-24,JFK,DEL,5688,km,,US
T-001644,Hotel,2026-01-25,,,,km,11,UK
T-001645,Flight,2026-01-26,BOM,BLR,4581,km,,India
T-001646,Hotel,2026-01-27,,,,km,6,Singapore
T-001647,Ground,2026-01-28,,,70,km,,Singapore
T-001648,Hotel,2026-01-29,,,,km,6,Singapore
T-001649,Flight,2026-01-30,DXB,BOM,2219,km,,US
T-001650,Flight,2026-01-31,JFK,BLR,9832,km,,UK
T-001651,Hotel,2026-02-01,,,,km,2,India
T-001652,Hotel,2026-02-02,,,,km,10,Singapore
T-001653,Hotel,2026-02-03,,,,km,8,US
T-001654,Ground,2026-02-04,,,89,km,,UAE
T-001655,Flight,2026-02-05,LHR,DEL,1221,km,,UAE
T-001656,Flight,2026-02-06,JFK,LHR,,km,,US
T-001657,Ground,2026-02-07,,,157,km,,UK
T-001658,Flight,2026-02-08,SFO,SIN,5073,km,,US
T-001659,Flight,2026-02-09,LHR,BOM,7384,km,,US
T-001660,Ground,2026-02-10,,,136,km,,India
T-001661,Hotel,2026-02-11,,,,km,12,Singapore
T-001662,Flight,2026-02-12,DEL,SFO,10150,km,,US
T-001663,Hotel,2026-02-13,,,,km,7,India
T-001664,Flight,2026-02-14,DEL,LHR,,km,,India
T-001665,Ground,2026-02-15,,,63,km,,US
T-001666,Hotel,2026-02-16,,,,km,3,UK
T-001667,Flight,2026-02-17,SFO,JFK,521,km,,Singapore
T-001668,Hotel,2026-02-18,,,,km,8,UK
T-001669,Ground,2026-02-19,,,9,km,,UAE
T-001670,Hotel,2026-02-20,,,,km,9,Singapore
T-001671,Hotel,2026-02-21,,,,km,1,India
T-001672,Ground,2026-02-22,,,165,km,,UK
T-001673,Ground,2026-02-23,,,26,km,,UK
T-001674,Ground,2026-02-24,,,59,km,,India
T-001675,Ground,2026-02-25,,,89,km,,Singapore
T-001676,Ground,2026-02-26,,,25,km,,US
T-001677,Flight,2026-02-27,BLR,BOM,3943,km,,UK
T-001678,Hotel,2026-02-28,,,,km,3,US
T-001679,Flight,2026-03-01,SFO,DXB,4005,km,,UAE
T-001680,Hotel,2026-03-02,,,,km,4,UAE
T-001681,Ground,2026-03-03,,,118,km,,US
T-001682,Hotel,2026-03-04,,,,km,7,UAE
T-001683,Flight,2026-03-05,SFO,BOM,5855,km,,Singapore
T-001684,Flight,2026-03-06,LHR,SIN,,km,,US
T-001685,Hotel,2026-03-07,,,,km,4,UK
T-001686,Hotel,2026-03-08,,,,km,1,US
T-001687,Flight,2026-03-09,SFO,BOM,9786,km,,India
T-001688,Ground,2026-03-10,,,46,km,,Singapore
T-001689,Hotel,2026-03-11,,,,km,10,UK
T-001690,Hotel,2026-03-12,,,,km,7,US
T-001691,Flight,2026-03-13,SFO,DXB,8210,km,,UK
T-001692,Flight,2026-03-14,DEL,SIN,,km,,Singapore
T-001693,Flight,2026-03-15,LHR,SFO,8311,km,,UK
T-001694,Ground,2026-03-16,,,41,km,,India
T-001695,Flight,2026-03-17,DEL,BLR,12111,km,,UK
T-001696,Flight,2026-03-18,SFO,DEL,,km,,India
T-001697,Flight,2026-03-19,DEL,DXB,3376,km,,UAE
T-001698,Hotel,2026-03-20,,,,km,5,Singapore
T-001699,Flight,2026-03-21,BLR,SFO,11789,km,,US
T-001700,Hotel,2026-03-22,,,,km,11,UAE
T-001701,Ground,2026-03-23,,,78,km,,Singapore
T-001702,Ground,2026-03-24,,,21,km,,UK
T-001703,Ground,2026-03-25,,,13,km,,Singapore
T-001704,Flight,2026-03-26,DEL,SFO,,km,,India
T-001705,Flight,2026-03-27,JFK,BOM,4258,km,,US
T-001706,Ground,2026-03-28,,,112,km,,India
T-001707,Hotel,2026-03-29,,,,km,11,India
T-001708,Hotel,2026-03-30,,,,km,12,US
T-001709,Ground,2026-03-31,,,144,km,,UK
T-001710,Flight,2026-04-01,JFK,LHR,814,km,,Singapore
T-001711,Ground,2026-04-02,,,22,km,,UK
T-001712,Hotel,2026-04-03,,,,km,12,UAE
T-001713,Hotel,2026-04-04,,,,km,9,India
T-001714,Ground,2026-04-05,,,164,km,,India
T-001715,Ground,2026-04-06,,,18,km,,UK
T-001716,Hotel,2026-04-07,,,,km,3,Singapore
T-001717,Flight,2026-04-08,DXB,SIN,10762,km,,India
T-001718,Flight,2026-04-09,JFK,SFO,890,km,,Singapore
T-001719,Ground,2026-04-10,,,27,km,,US
T-001720,Ground,2026-04-11,,,47,km,,US
T-001721,Hotel,2026-04-12,,,,km,9,Singapore
T-001722,Hotel,2026-04-13,,,,km,2,US
T-001723,Hotel,2026-04-14,,,,km,12,UAE
T-001724,Flight,2026-04-15,SFO,DEL,,km,,UK
T-001725,Ground,2026-04-16,,,140,km,,US
T-001726,Flight,2026-04-17,SIN,DXB,3554,km,,UK
T-001727,Flight,2026-04-18,DEL,SFO,7600,km,,UK
T-001728,Hotel,2026-04-19,,,,km,6,UK
T-001729,Hotel,2026-04-20,,,,km,8,US
T-001730,Hotel,2026-04-21,,,,km,5,Singapore
T-001731,Hotel,2026-04-22,,,,km,1,UK
T-001732,Flight,2026-04-23,DEL,JFK,,km,,US
T-001733,Ground,2026-04-24,,,81,km,,India
T-001734,Flight,2026-04-25,LHR,SIN,5354,km,,UK
T-001735,Ground,2026-04-26,,,57,km,,US
T-001736,Ground,2026-04-27,,,155,km,,US
T-001737,Hotel,2026-04-28,,,,km,2,India
T-001738,Ground,2026-04-29,,,108,km,,India
T-001739,Ground,2026-04-30,,,33,km,,US
T-001740,Flight,2026-05-01,SFO,LHR,,km,,Singapore
T-001741,Hotel,2026-05-02,,,,km,7,UAE
T-001742,Ground,2026-05-03,,,31,km,,UK
T-001743,Flight,2026-05-04,BLR,SIN,7627,km,,UAE
T-001744,Flight,2026-05-05,DEL,SIN,,km,,UK
T-001745,Flight,2026-05-06,LHR,SFO,7715,km,,US
T-001746,Ground,2026-05-07,,,159,km,,India
T-001747,Hotel,2026-05-08,,,,km,3,India
T-001748,Hotel,2026-05-09,,,,km,1,UAE
T-001749,Ground,2026-05-10,,,137,km,,Singapore
T-001750,Hotel,2026-05-11,,,,km,11,UAE
T-001751,Hotel,2026-05-12,,,,km,2,US
T-001752,Flight,2026-05-13,LHR,SFO,,km,,US
T-001753,Ground,2026-05-14,,,131,km,,US
T-001754,Hotel,2026-05-15,,,,km,12,Singapore
T-001755,Ground,2026-05-16,,,116,km,,US
T-001756,Hotel,2026-05-17,,,,km,5,UAE
T-001757,Flight,2026-05-18,DXB,DEL,11279,km,,Singapore
T-001758,Flight,2026-05-19,SIN,LHR,1608,km,,US
T-001759,Hotel,2026-05-20,,,,km,7,UK
T-001760,Ground,2026-05-21,,,112,km,,UK
T-001761,Hotel,2026-05-22,,,,km,10,US
T-001762,Hotel,2026-05-23,,,,km,11,UAE
T-001763,Flight,2026-05-24,DEL,JFK,1182,km,,Singapore
T-001764,Ground,2026-05-25,,,76,km,,UAE
T-001765,Hotel,2026-05-26,,,,km,2,India
T-001766,Flight,2026-05-27,SIN,BLR,300,km,,US
T-001767,Ground,2026-05-28,,,56,km,,UAE
T-001768,Hotel,2026-05-29,,,,km,11,US
T-001769,Flight,2026-05-30,LHR,SFO,8101,km,,US
T-001770,Hotel,2026-05-31,,,,km,10,US
T-001771,Flight,2026-06-01,LHR,DXB,4237,km,,Singapore
T-001772,Flight,2026-06-02,DXB,SIN,,km,,India
T-001773,Hotel,2026-06-03,,,,km,6,UAE
T-001774,Ground,2026-06-04,,,32,km,,India
T-001775,Flight,2026-06-05,DEL,BLR,11842,km,,India
T-001776,Flight,2026-06-06,JFK,BLR,,km,,UAE
T-001777,Flight,2026-06-07,SIN,DEL,2759,km,,US
T-001778,Ground,2026-06-08,,,107,km,,UK
T-001779,Flight,2026-06-09,JFK,BLR,9081,km,,UK
T-001780,Hotel,2026-06-10,,,,km,7,UK
T-001781,Ground,2026-06-11,,,16,km,,US
T-001782,Flight,2026-06-12,BLR,DEL,1232,km,,US
T-001783,Hotel,2026-06-13,,,,km,2,UK
T-001784,Flight,2026-06-14,DXB,JFK,,km,,UAE
T-001785,Ground,2026-06-15,,,121,km,,India
T-001786,Flight,2026-06-16,DEL,JFK,1178,km,,India
T-001787,Flight,2026-06-17,JFK,BLR,3645,km,,UK
T-001788,Hotel,2026-06-18,,,,km,2,UK
T-001789,Flight,2026-06-19,DEL,BOM,1301,km,,US
T-001790,Hotel,2026-06-20,,,,km,7,India
T-001791,Flight,2026-06-21,DXB,SIN,4277,km,,India
T-001792,Flight,2026-06-22,BLR,SFO,,km,,UAE
T-001793,Hotel,2026-06-23,,,,km,2,Singapore
T-001794,Ground,2026-06-24,,,21,km,,Singapore
T-001795,Flight,2026-06-25,DXB,SFO,9436,km,,UK
T-001796,Flight,2026-06-26,BOM,JFK,,km,,Singapore
T-001797,Hotel,2026-06-27,,,,km,12,US
T-001798,Ground,2026-06-28,,,118,km,,US
T-001799,Flight,2026-06-29,JFK,SFO,2307,km,,US
T-001800,Ground,2026-01-01,,,109,km,,India
T-001801,Ground,2026-01-02,,,163,km,,Singapore
T-001802,Flight,2026-01-03,SFO,JFK,7654,km,,India
T-001803,Hotel,2026-01-04,,,,km,7,India
T-001804,Ground,2026-01-05,,,52,km,,Singapore
T-001805,Ground,2026-01-06,,,143,km,,UAE
T-001806,Ground,2026-01-07,,,109,km,,Singapore
T-001807,Hotel,2026-01-08,,,,km,5,UAE
T-001808,Hotel,2026-01-09,,,,km,10,Singapore
T-001809,Flight,2026-01-10,SIN,BOM,7277,km,,UK
T-001810,Hotel,2026-01-11,,,,km,6,UAE
T-001811,Flight,2026-01-12,LHR,SFO,10202,km,,UAE
T-001812,Hotel,2026-01-13,,,,km,4,UAE
T-001813,Flight,2026-01-14,LHR,SFO,10082,km,,UK
T-001814,Ground,2026-01-15,,,58,km,,UAE
T-001815,Ground,2026-01-16,,,133,km,,UK
T-001816,Hotel,2026-01-17,,,,km,1,UK
T-001817,Ground,2026-01-18,,,163,km,,US
T-001818,Ground,2026-01-19,,,101,km,,UK
T-001819,Hotel,2026-01-20,,,,km,4,UAE
T-001820,Flight,2026-01-21,DXB,BOM,,km,,UK
T-001821,Hotel,2026-01-22,,,,km,4,UK
T-001822,Flight,2026-01-23,DEL,BLR,8913,km,,Singapore
T-001823,Flight,2026-01-24,SIN,SFO,5183,km,,UK
T-001824,Ground,2026-01-25,,,78,km,,US
T-001825,Flight,2026-01-26,BLR,SFO,5199,km,,UAE
T-001826,Flight,2026-01-27,SIN,BOM,9663,km,,US
T-001827,Flight,2026-01-28,DXB,LHR,7473,km,,UAE
T-001828,Flight,2026-01-29,DEL,DXB,,km,,US
T-001829,Hotel,2026-01-30,,,,km,10,Singapore
T-001830,Hotel,2026-01-31,,,,km,4,UAE
T-001831,Ground,2026-02-01,,,117,km,,UK
T-001832,Flight,2026-02-02,BOM,BLR,,km,,Singapore
T-001833,Flight,2026-02-03,JFK,SIN,11909,km,,Singapore
T-001834,Hotel,2026-02-04,,,,km,5,UK
T-001835,Ground,2026-02-05,,,119,km,,UK
T-001836,Flight,2026-02-06,SFO,DEL,,km,,UK
T-001837,Flight,2026-02-07,BOM,DEL,397,km,,US
T-001838,Flight,2026-02-08,JFK,BLR,10369,km,,US
T-001839,Ground,2026-02-09,,,109,km,,UAE
T-001840,Flight,2026-02-10,BLR,DXB,,km,,India
T-001841,Hotel,2026-02-11,,,,km,10,US
T-001842,Flight,2026-02-12,DXB,BLR,4980,km,,India
T-001843,Flight,2026-02-13,BLR,LHR,7493,km,,India
T-001844,Flight,2026-02-14,JFK,DEL,,km,,UK
T-001845,Hotel,2026-02-15,,,,km,11,India
T-001846,Flight,2026-02-16,DXB,SIN,2596,km,,Singapore
T-001847,Flight,2026-02-17,SFO,DXB,8534,km,,US
T-001848,Ground,2026-02-18,,,50,km,,US
T-001849,Ground,2026-02-19,,,24,km,,UK
T-001850,Flight,2026-02-20,DEL,BOM,10216,km,,US
T-001851,Hotel,2026-02-21,,,,km,2,UK
T-001852,Hotel,2026-02-22,,,,km,3,Singapore
T-001853,Flight,2026-02-23,JFK,BOM,9747,km,,UAE
T-001854,Flight,2026-02-24,DEL,BOM,6088,km,,India
T-001855,Flight,2026-02-25,DEL,BLR,10124,km,,India
T-001856,Ground,2026-02-26,,,156,km,,Singapore
T-001857,Hotel,2026-02-27,,,,km,6,Singapore
T-001858,Ground,2026-02-28,,,78,km,,India
T-001859,Flight,2026-03-01,BLR,DEL,3381,km,,India
T-001860,Ground,2026-03-02,,,129,km,,India
T-001861,Flight,2026-03-03,LHR,BLR,7775,km,,India
T-001862,Ground,2026-03-04,,,127,km,,UAE
T-001863,Ground,2026-03-05,,,39,km,,UK
T-001864,Flight,2026-03-06,BLR,JFK,,km,,US
T-001865,Hotel,2026-03-07,,,,km,7,UAE
T-001866,Hotel,2026-03-08,,,,km,8,Singapore
T-001867,Hotel,2026-03-09,,,,km,6,India
T-001868,Ground,2026-03-10,,,166,km,,Singapore
T-001869,Flight,2026-03-11,BOM,JFK,7954,km,,India
T-001870,Ground,2026-03-12,,,72,km,,US
T-001871,Hotel,2026-03-13,,,,km,3,Singapore
T-001872,Hotel,2026-03-14,,,,km,1,Singapore
T-001873,Hotel,2026-03-15,,,,km,7,US
T-001874,Hotel,2026-03-16,,,,km,5,India
T-001875,Flight,2026-03-17,DXB,DEL,9694,km,,UK
T-001876,Flight,2026-03-18,BOM,DXB,,km,,India
T-001877,Ground,2026-03-19,,,38,km,,UK
T-001878,Flight,2026-03-20,DEL,BLR,4186,km,,UAE
T-001879,Hotel,2026-03-21,,,,km,11,Singapore
T-001880,Hotel,2026-03-22,,,,km,4,UAE
T-001881,Ground,2026-03-23,,,80,km,,UK
T-001882,Ground,2026-03-24,,,19,km,,UAE
T-001883,Hotel,2026-03-25,,,,km,7,India
T-001884,Flight,2026-03-26,JFK,LHR,,km,,UAE
T-001885,Flight,2026-03-27,JFK,SIN,12461,km,,US
T-001886,Ground,2026-03-28,,,27,km,,US
T-001887,Ground,2026-03-29,,,11,km,,Singapore
T-001888,Hotel,2026-03-30,,,,km,4,US
T-001889,Flight,2026-03-31,JFK,BOM,3264,km,,Singapore
T-001890,Hotel,2026-04-01,,,,km,8,UK
T-001891,Flight,2026-04-02,DXB,SFO,9026,km,,US
T-001892,Flight,2026-04-03,BOM,LHR,,km,,Singapore
T-001893,Hotel,2026-04-04,,,,km,5,UK
T-001894,Flight,2026-04-05,SIN,BLR,6263,km,,US
T-001895,Flight,2026-04-06,SFO,BOM,7733,km,,UK
T-001896,Ground,2026-04-07,,,5,km,,India
T-001897,Ground,2026-04-08,,,146,km,,Singapore
T-001898,Flight,2026-04-09,BLR,SIN,3118,km,,UAE
T-001899,Hotel,2026-04-10,,,,km,6,UK
T-001900,Ground,2026-04-11,,,26,km,,India
T-001901,Hotel,2026-04-12,,,,km,9,Singapore
T-001902,Flight,2026-04-13,SIN,BOM,1592,km,,US
T-001903,Ground,2026-04-14,,,30,km,,UK
T-001904,Ground,2026-04-15,,,135,km,,UK
T-001905,Ground,2026-04-16,,,134,km,,India
T-001906,Ground,2026-04-17,,,4,km,,UAE
T-001907,Hotel,2026-04-18,,,,km,1,US
T-001908,Hotel,2026-04-19,,,,km,11,India
T-001909,Hotel,2026-04-20,,,,km,10,UK
T-001910,Ground,2026-04-21,,,87,km,,India
T-001911,Ground,2026-04-22,,,140,km,,India
T-001912,Ground,2026-04-23,,,20,km,,US
T-001913,Ground,2026-04-24,,,99,km,,UAE
T-001914,Hotel,2026-04-25,,,,km,5,US
T-001915,Flight,2026-04-26,SFO,BLR,7763,km,,India
T-001916,Ground,2026-04-27,,,84,km,,UAE
T-001917,Hotel,2026-04-28,,,,km,12,US
T-001918,Flight,2026-04-29,SFO,LHR,5184,km,,UK
T-001919,Hotel,2026-04-30,,,,km,2,India
T-001920,Ground,2026-05-01,,,132,km,,UK
T-001921,Ground,2026-05-02,,,95,km,,India
T-001922,Hotel,2026-05-03,,,,km,9,Singapore
T-001923,Ground,2026-05-04,,,179,km,,US
T-001924,Flight,2026-05-05,JFK,LHR,,km,,UAE
T-001925,Hotel,2026-05-06,,,,km,11,UAE
T-001926,Flight,2026-05-07,DEL,BLR,2756,km,,UK
T-001927,Flight,2026-05-08,BOM,SIN,7474,km,,UK
T-001928,Ground,2026-05-09,,,117,km,,US
T-001929,Ground,2026-05-10,,,60,km,,UAE
T-001930,Hotel,2026-05-11,,,,km,4,US
T-001931,Ground,2026-05-12,,,102,km,,UK
T-001932,Flight,2026-05-13,SFO,BLR,,km,,India
T-001933,Ground,2026-05-14,,,166,km,,US
T-001934,Flight,2026-05-15,DEL,BLR,8129,km,,India
T-001935,Ground,2026-05-16,,,116,km,,UAE
T-001936,Flight,2026-05-17,DXB,SIN,,km,,US
T-001937,Ground,2026-05-18,,,135,km,,US
T-001938,Hotel,2026-05-19,,,,km,2,Singapore
T-001939,Flight,2026-05-20,JFK,LHR,5133,km,,UK
T-001940,Hotel,2026-05-21,,,,km,2,UK
T-001941,Ground,2026-05-22,,,114,km,,India
T-001942,Hotel,2026-05-23,,,,km,6,US
T-001943,Hotel,2026-05-24,,,,km,6,India
T-001944,Hotel,2026-05-25,,,,km,4,UAE
T-001945,Hotel,2026-05-26,,,,km,3,Singapore
T-001946,Flight,2026-05-27,DEL,BLR,10626,km,,Singapore
T-001947,Flight,2026-05-28,BOM,DXB,12420,km,,UK
T-001948,Hotel,2026-05-29,,,,km,9,US
T-001949,Flight,2026-05-30,DEL,DXB,6143,km,,UAE
T-001950,Hotel,2026-05-31,,,,km,8,India
T-001951,Ground,2026-06-01,,,90,km,,US
T-001952,Ground,2026-06-02,,,21,km,,UK
T-001953,Hotel,2026-06-03,,,,km,12,US
T-001954,Hotel,2026-06-04,,,,km,9,UAE
T-001955,Hotel,2026-06-05,,,,km,4,India
T-001956,Flight,2026-06-06,BLR,SIN,,km,,India
T-001957,Hotel,2026-06-07,,,,km,11,UK
T-001958,Hotel,2026-06-08,,,,km,4,US
T-001959,Flight,2026-06-09,JFK,SIN,5359,km,,US
T-001960,Ground,2026-06-10,,,41,km,,UAE
T-001961,Ground,2026-06-11,,,90,km,,Singapore
T-001962,Ground,2026-06-12,,,120,km,,UAE
T-001963,Hotel,2026-06-13,,,,km,11,India
T-001964,Flight,2026-06-14,DXB,DEL,,km,,India
T-001965,Flight,2026-06-15,BOM,LHR,12461,km,,UK
T-001966,Ground,2026-06-16,,,45,km,,US
T-001967,Hotel,2026-06-17,,,,km,3,US
T-001968,Hotel,2026-06-18,,,,km,12,Singapore
T-001969,Hotel,2026-06-19,,,,km,6,India
T-001970,Hotel,2026-06-20,,,,km,7,Singapore
T-001971,Flight,2026-06-21,DEL,LHR,1549,km,,Singapore
T-001972,Ground,2026-06-22,,,41,km,,India
T-001973,Flight,2026-06-23,DXB,LHR,11565,km,,US
T-001974,Ground,2026-06-24,,,74,km,,UK
T-001975,Flight,2026-06-25,DXB,BLR,11340,km,,UAE
T-001976,Hotel,2026-06-26,,,,km,2,Singapore
T-001977,Hotel,2026-06-27,,,,km,1,India
T-001978,Flight,2026-06-28,BOM,DEL,11782,km,,UAE
T-001979,Ground,2026-06-29,,,51,km,,UAE
T-001980,Flight,2026-01-01,DXB,BLR,,km,,Singapore
T-001981,Ground,2026-01-02,,,107,km,,Singapore
T-001982,Hotel,2026-01-03,,,,km,3,Singapore
T-001983,Flight,2026-01-04,BLR,SIN,5704,km,,UAE
T-001984,Ground,2026-01-05,,,53,km,,Singapore
T-001985,Flight,2026-01-06,DEL,LHR,5714,km,,US
T-001986,Ground,2026-01-07,,,72,km,,US
T-001987,Flight,2026-01-08,SIN,SFO,10614,km,,UAE
T-001988,Hotel,2026-01-09,,,,km,4,US
T-001989,Flight,2026-01-10,SIN,JFK,463,km,,US
T-001990,Hotel,2026-01-11,,,,km,2,US
T-001991,Ground,2026-01-12,,,38,km,,UAE
T-001992,Flight,2026-01-13,JFK,BLR,,km,,India
T-001993,Flight,2026-01-14,BLR,DXB,8548,km,,UAE
T-001994,Hotel,2026-01-15,,,,km,1,US
T-001995,Flight,2026-01-16,JFK,DXB,891,km,,UAE
T-001996,Flight,2026-01-17,BOM,DXB,,km,,Singapore
T-001997,Ground,2026-01-18,,,148,km,,UAE
T-001998,Flight,2026-01-19,DEL,DXB,9795,km,,UAE
T-001999,Ground,2026-01-20,,,163,km,,Singapore
T-002000,Hotel,2026-01-21,,,,km,7,Singapore
T-002001,Flight,2026-01-22,SFO,BLR,4745,km,,US
T-002002,Ground,2026-01-23,,,131,km,,US
T-002003,Flight,2026-01-24,SIN,DEL,11792,km,,Singapore
T-002004,Hotel,2026-01-25,,,,km,12,UK
T-002005,Hotel,2026-01-26,,,,km,8,Singapore
T-002006,Ground,2026-01-27,,,62,km,,UAE
T-002007,Ground,2026-01-28,,,87,km,,India
T-002008,Flight,2026-01-29,DEL,SIN,,km,,US
T-002009,Flight,2026-01-30,BLR,SFO,4843,km,,UK
T-002010,Hotel,2026-01-31,,,,km,11,UK
T-002011,Hotel,2026-02-01,,,,km,11,US
T-002012,Ground,2026-02-02,,,114,km,,India
T-002013,Flight,2026-02-03,BOM,SFO,6535,km,,India
T-002014,Hotel,2026-02-04,,,,km,5,India
T-002015,Flight,2026-02-05,LHR,SIN,8505,km,,UAE
T-002016,Flight,2026-02-06,LHR,JFK,,km,,UK
T-002017,Hotel,2026-02-07,,,,km,2,UAE
T-002018,Ground,2026-02-08,,,47,km,,US
T-002019,Hotel,2026-02-09,,,,km,4,UAE
T-002020,Ground,2026-02-10,,,3,km,,Singapore
T-002021,Hotel,2026-02-11,,,,km,8,UK
T-002022,Flight,2026-02-12,BOM,LHR,4117,km,,UAE
T-002023,Flight,2026-02-13,DXB,BOM,5472,km,,US
T-002024,Ground,2026-02-14,,,43,km,,UK
T-002025,Flight,2026-02-15,LHR,DEL,1708,km,,UK
T-002026,Ground,2026-02-16,,,83,km,,India
T-002027,Flight,2026-02-17,SFO,LHR,8085,km,,India
T-002028,Ground,2026-02-18,,,115,km,,UAE
T-002029,Flight,2026-02-19,DEL,LHR,1300,km,,UK
T-002030,Flight,2026-02-20,BOM,BLR,3013,km,,Singapore
T-002031,Ground,2026-02-21,,,57,km,,India
T-002032,Hotel,2026-02-22,,,,km,7,UK
T-002033,Ground,2026-02-23,,,179,km,,UK
T-002034,Hotel,2026-02-24,,,,km,2,UAE
T-002035,Flight,2026-02-25,LHR,DXB,4804,km,,Singapore
T-002036,Ground,2026-02-26,,,146,km,,US
T-002037,Ground,2026-02-27,,,19,km,,US
T-002038,Flight,2026-02-28,SFO,JFK,8602,km,,UAE
T-002039,Flight,2026-03-01,DEL,BLR,11736,km,,UK
T-002040,Flight,2026-03-02,JFK,BLR,,km,,US
T-002041,Flight,2026-03-03,SIN,DXB,1199,km,,India
T-002042,Hotel,2026-03-04,,,,km,7,UAE
T-002043,Flight,2026-03-05,LHR,JFK,811,km,,UK
T-002044,Hotel,2026-03-06,,,,km,9,US
T-002045,Ground,2026-03-07,,,23,km,,UAE
T-002046,Flight,2026-03-08,SFO,LHR,8211,km,,UK
T-002047,Ground,2026-03-09,,,117,km,,US
T-002048,Hotel,2026-03-10,,,,km,11,UAE
T-002049,Flight,2026-03-11,BLR,JFK,571,km,,Singapore
T-002050,Flight,2026-03-12,BOM,LHR,12438,km,,India
T-002051,Hotel,2026-03-13,,,,km,11,Singapore
T-002052,Hotel,2026-03-14,,,,km,4,UK
T-002053,Flight,2026-03-15,LHR,DXB,1513,km,,UK
T-002054,Flight,2026-03-16,BLR,DEL,4867,km,,US
T-002055,Ground,2026-03-17,,,174,km,,UAE
T-002056,Ground,2026-03-18,,,74,km,,UK
T-002057,Hotel,2026-03-19,,,,km,8,UAE
T-002058,Ground,2026-03-20,,,98,km,,Singapore
