Werk,Buchungsdatum,Material Document,Kraftstoff,Menge,Einheit,Cost Center,Vendor
PLT-US-03,03-16-2026,4900001874,Diesel,21166,ltr,OPS-4731,ACME Fuels GmbH
PLT-US-03,17.03.2026,4900001875,BioFuel-X,15412,Liters,OPS-6514,ACME Fuels GmbH
PLT-US-03,2026/03/18,4900001876,Diesel,20810,gal,OPS-4789,ACME Fuels GmbH
PLT-SG-05,03-19-2026,4900001877,LPG,70298,L,OPS-4624,Delhi Gas Utility
PLT-IN-02,20.03.2026,4900001878,Diesel,47876,L,OPS-5341,Delhi Gas Utility
PLT-IN-02,2026/03/21,4900001879,Petrol,28854,L,OPS-5120,Metro Industrial Fuels
PLT-US-03,03-22-2026,4900001880,LPG,26164,L,OPS-6670,Northstar Energy
PLT-UK-04,23.03.2026,4900001881,LPG,61266,therm,OPS-5638,Delhi Gas Utility
PLT-IN-02,2026/03/24,4900001882,Petrol,32830,ltr,OPS-5609,ACME Fuels GmbH
PLT-IN-02,03-25-2026,4900001883,BioFuel-X,40890,ltr,OPS-5775,Metro Industrial Fuels
PLT-US-03,26.03.2026,4900001884,Petrol,55590,gal,OPS-6551,ACME Fuels GmbH
PLT-IN-02,2026/03/27,4900001885,LPG,50256,therm,OPS-5445,Northstar Energy
PLT-IN-02,03-28-2026,4900001886,Diesel,8473,therm,OPS-6094,Northstar Energy
PLT-SG-05,29.03.2026,4900001887,LPG,53764,Liters,OPS-5442,Metro Industrial Fuels
PLT-IN-02,2026/03/30,4900001888,Petrol,3974,L,OPS-5758,Delhi Gas Utility
PLT-DE-01,03-31-2026,4900001889,Natural Gas,46940,ltr,OPS-6690,Northstar Energy
PLT-US-03,01.04.2026,4900001890,Diesel,48804,ltr,OPS-4039,Northstar Energy
PLT-IN-02,2026/04/02,4900001891,BioFuel-X,1478,Liters,OPS-6324,Northstar Energy
PLT-DE-01,04-03-2026,4900001892,BioFuel-X,30543,gal,OPS-5161,Delhi Gas Utility
PLT-DE-01,04.04.2026,4900001893,LPG,69159,ltr,OPS-5138,ACME Fuels GmbH
PLT-US-03,2026/04/05,4900001894,Petrol,55329,therm,OPS-4811,Delhi Gas Utility
PLT-UK-04,04-06-2026,4900001895,Diesel,6559,therm,OPS-5124,Metro Industrial Fuels
PLT-UK-04,07.04.2026,4900001896,Natural Gas,15681,L,OPS-6463,Northstar Energy
PLT-SG-05,2026/04/08,4900001897,Diesel,50231,ltr,OPS-5167,ACME Fuels GmbH
PLT-US-03,04-09-2026,4900001898,Natural Gas,659,therm,OPS-5649,ACME Fuels GmbH
PLT-DE-01,10.04.2026,4900001899,Petrol,69972,gal,OPS-6641,ACME Fuels GmbH
PLT-DE-01,2026/04/11,4900001900,BioFuel-X,9153,therm,OPS-6962,Northstar Energy
PLT-US-03,04-12-2026,4900001901,BioFuel-X,36052,Liters,OPS-4326,Northstar Energy
PLT-DE-01,13.04.2026,4900001902,BioFuel-X,64775,gal,OPS-5222,Metro Industrial Fuels
PLT-US-03,2026/04/14,4900001903,LPG,64712,L,OPS-4420,ACME Fuels GmbH
PLT-DE-01,04-15-2026,4900001904,Natural Gas,29412,L,OPS-4430,Northstar Energy
PLT-IN-02,16.04.2026,4900001905,Diesel,57155,ltr,OPS-4782,Northstar Energy
PLT-DE-01,2026/04/17,4900001906,Petrol,70508,L,OPS-4176,ACME Fuels GmbH
PLT-DE-01,04-18-2026,4900001907,Petrol,6341,Liters,OPS-5348,Metro Industrial Fuels
PLT-IN-02,19.04.2026,4900001908,LPG,35427,ltr,OPS-5887,ACME Fuels GmbH
PLT-IN-02,2026/04/20,4900001909,LPG,16602,Liters,OPS-5692,Metro Industrial Fuels
PLT-SG-05,04-21-2026,4900001910,Natural Gas,16089,gal,OPS-6367,Metro Industrial Fuels
PLT-US-03,22.04.2026,4900001911,BioFuel-X,64288,Liters,OPS-4925,ACME Fuels GmbH
PLT-DE-01,2026/04/23,4900001912,Petrol,34628,Liters,OPS-6287,Delhi Gas Utility
PLT-DE-01,04-24-2026,4900001913,BioFuel-X,27036,L,OPS-4246,Delhi Gas Utility
PLT-UK-04,25.04.2026,4900001914,BioFuel-X,1770,ltr,OPS-4769,Metro Industrial Fuels
PLT-IN-02,2026/04/26,4900001915,LPG,13751,Liters,OPS-6161,Northstar Energy
PLT-IN-02,04-27-2026,4900001916,LPG,40921,therm,OPS-4432,Delhi Gas Utility
PLT-UK-04,28.04.2026,4900001917,BioFuel-X,28726,Liters,OPS-6541,Delhi Gas Utility
PLT-DE-01,2026/04/29,4900001918,Petrol,52505,ltr,OPS-5732,Delhi Gas Utility
PLT-DE-01,04-30-2026,4900001919,Natural Gas,40308,gal,OPS-5888,ACME Fuels GmbH
PLT-DE-01,01.05.2026,4900001920,BioFuel-X,14494,ltr,OPS-4766,Northstar Energy
PLT-SG-05,2026/05/02,4900001921,BioFuel-X,3796,therm,OPS-5441,Northstar Energy
PLT-DE-01,05-03-2026,4900001922,Petrol,15559,gal,OPS-5767,Delhi Gas Utility
PLT-SG-05,04.05.2026,4900001923,BioFuel-X,19792,therm,OPS-6080,Northstar Energy
PLT-US-03,2026/05/05,4900001924,Petrol,7017,therm,OPS-4400,ACME Fuels GmbH
PLT-IN-02,05-06-2026,4900001925,Petrol,50187,therm,OPS-4775,Metro Industrial Fuels
PLT-US-03,07.05.2026,4900001926,LPG,23203,gal,OPS-6488,Metro Industrial Fuels
PLT-DE-01,2026/05/08,4900001927,Diesel,68026,therm,OPS-6647,Delhi Gas Utility
PLT-DE-01,05-09-2026,4900001928,Diesel,14609,ltr,OPS-4146,Northstar Energy
PLT-SG-05,10.05.2026,4900001929,Diesel,31345,L,OPS-5128,Delhi Gas Utility
PLT-UK-04,2026/05/11,4900001930,Diesel,53076,therm,OPS-4900,Northstar Energy
PLT-IN-02,05-12-2026,4900001931,Natural Gas,64953,ltr,OPS-5423,Northstar Energy
PLT-DE-01,13.05.2026,4900001932,Natural Gas,37795,L,OPS-6061,Metro Industrial Fuels
PLT-IN-02,2026/05/14,4900001933,Petrol,40069,ltr,OPS-6791,ACME Fuels GmbH
PLT-US-03,05-15-2026,4900001934,BioFuel-X,21892,ltr,OPS-4580,ACME Fuels GmbH
PLT-US-03,16.05.2026,4900001935,Diesel,62256,therm,OPS-4727,Northstar Energy
PLT-DE-01,2026/05/17,4900001936,LPG,10139,ltr,OPS-5442,Metro Industrial Fuels
PLT-IN-02,05-18-2026,4900001937,BioFuel-X,181,therm,OPS-4448,ACME Fuels GmbH
PLT-US-03,19.05.2026,4900001938,Natural Gas,2329,gal,OPS-6151,Delhi Gas Utility
PLT-DE-01,2026/05/20,4900001939,Petrol,19262,L,OPS-5374,Metro Industrial Fuels
PLT-SG-05,05-21-2026,4900001940,Petrol,64362,Liters,OPS-6717,Metro Industrial Fuels
PLT-UK-04,22.05.2026,4900001941,Diesel,33281,Liters,OPS-5444,Northstar Energy
PLT-SG-05,2026/05/23,4900001942,BioFuel-X,43793,gal,OPS-4461,Northstar Energy
PLT-IN-02,05-24-2026,4900001943,BioFuel-X,68116,L,OPS-4902,Delhi Gas Utility
PLT-DE-01,25.05.2026,4900001944,Natural Gas,46868,therm,OPS-6365,Metro Industrial Fuels
PLT-DE-01,2026/05/26,4900001945,Natural Gas,47159,ltr,OPS-5547,ACME Fuels GmbH
PLT-UK-04,05-27-2026,4900001946,LPG,35953,gal,OPS-4716,Northstar Energy
PLT-UK-04,28.05.2026,4900001947,LPG,45773,Liters,OPS-5709,Northstar Energy
PLT-DE-01,2026/05/29,4900001948,LPG,40593,ltr,OPS-6130,Northstar Energy
PLT-UK-04,05-30-2026,4900001949,LPG,16166,therm,OPS-5421,Northstar Energy
PLT-UK-04,01.01.2026,4900001950,Natural Gas,14492,L,OPS-5910,Delhi Gas Utility
PLT-SG-05,2026/01/02,4900001951,LPG,68625,Liters,OPS-6721,Delhi Gas Utility
PLT-US-03,01-03-2026,4900001952,Diesel,39849,therm,OPS-5207,ACME Fuels GmbH
PLT-IN-02,04.01.2026,4900001953,Petrol,59538,L,OPS-6429,ACME Fuels GmbH
PLT-US-03,2026/01/05,4900001954,Diesel,7022,therm,OPS-5762,Northstar Energy
PLT-US-03,01-06-2026,4900001955,Natural Gas,134,L,OPS-5434,Northstar Energy
PLT-IN-02,07.01.2026,4900001956,Diesel,65847,gal,OPS-6921,Northstar Energy
PLT-UK-04,2026/01/08,4900001957,LPG,18746,ltr,OPS-4330,Northstar Energy
PLT-UK-04,01-09-2026,4900001958,Petrol,28736,L,OPS-5018,Metro Industrial Fuels
PLT-DE-01,10.01.2026,4900001959,Petrol,55436,therm,OPS-5237,Northstar Energy
PLT-UK-04,2026/01/11,4900001960,Petrol,22765,gal,OPS-6368,Delhi Gas Utility
PLT-IN-02,01-12-2026,4900001961,BioFuel-X,26199,Liters,OPS-6270,Delhi Gas Utility
PLT-DE-01,13.01.2026,4900001962,Petrol,39510,Liters,OPS-6321,Metro Industrial Fuels
PLT-UK-04,2026/01/14,4900001963,BioFuel-X,71593,ltr,OPS-4393,Delhi Gas Utility
PLT-US-03,01-15-2026,4900001964,LPG,69068,therm,OPS-6806,Northstar Energy
PLT-UK-04,16.01.2026,4900001965,BioFuel-X,61441,Liters,OPS-5722,Metro Industrial Fuels
PLT-SG-05,2026/01/17,4900001966,Diesel,60511,L,OPS-5724,ACME Fuels GmbH
PLT-US-03,01-18-2026,4900001967,Natural Gas,18476,gal,OPS-6377,Northstar Energy
PLT-SG-05,19.01.2026,4900001968,LPG,16732,gal,OPS-5201,ACME Fuels GmbH
PLT-UK-04,2026/01/20,4900001969,Diesel,51516,ltr,OPS-5895,Metro Industrial Fuels
PLT-DE-01,01-21-2026,4900001970,Petrol,7173,L,OPS-6661,ACME Fuels GmbH
PLT-DE-01,22.01.2026,4900001971,Petrol,43760,gal,OPS-6316,Metro Industrial Fuels
PLT-DE-01,2026/01/23,4900001972,LPG,43475,L,OPS-6762,ACME Fuels GmbH
PLT-IN-02,01-24-2026,4900001973,LPG,26928,gal,OPS-6028,Delhi Gas Utility
PLT-US-03,25.01.2026,4900001974,Petrol,29350,ltr,OPS-6945,ACME Fuels GmbH
PLT-IN-02,2026/01/26,4900001975,Diesel,63614,gal,OPS-4275,ACME Fuels GmbH
PLT-DE-01,01-27-2026,4900001976,LPG,20106,gal,OPS-4396,Delhi Gas Utility
PLT-UK-04,28.01.2026,4900001977,Diesel,26827,L,OPS-6071,Metro Industrial Fuels
PLT-DE-01,2026/01/29,4900001978,Petrol,51261,L,OPS-5657,Metro Industrial Fuels
PLT-SG-05,01-30-2026,4900001979,Petrol,24173,ltr,OPS-6509,Metro Industrial Fuels
PLT-IN-02,31.01.2026,4900001980,Diesel,16197,therm,OPS-4756,Delhi Gas Utility
PLT-SG-05,2026/02/01,4900001981,LPG,31596,ltr,OPS-4820,Metro Industrial Fuels
PLT-US-03,02-02-2026,4900001982,Diesel,63025,Liters,OPS-6411,Metro Industrial Fuels
PLT-UK-04,03.02.2026,4900001983,BioFuel-X,48197,Liters,OPS-6857,ACME Fuels GmbH
PLT-UK-04,2026/02/04,4900001984,Natural Gas,60862,therm,OPS-4114,Northstar Energy
PLT-SG-05,02-05-2026,4900001985,BioFuel-X,59960,L,OPS-4045,Northstar Energy
PLT-UK-04,06.02.2026,4900001986,Diesel,4517,gal,OPS-5452,Delhi Gas Utility
PLT-US-03,2026/02/07,4900001987,Diesel,61379,therm,OPS-4648,Northstar Energy
PLT-IN-02,02-08-2026,4900001988,Petrol,65669,gal,OPS-6892,Metro Industrial Fuels
PLT-IN-02,09.02.2026,4900001989,Natural Gas,67295,L,OPS-5441,Northstar Energy
PLT-US-03,2026/02/10,4900001990,Petrol,60275,ltr,OPS-5613,ACME Fuels GmbH
PLT-UK-04,02-11-2026,4900001991,LPG,63455,therm,OPS-6699,Delhi Gas Utility
PLT-US-03,12.02.2026,4900001992,Natural Gas,66500,gal,OPS-6858,Northstar Energy
PLT-SG-05,2026/02/13,4900001993,BioFuel-X,45675,gal,OPS-4276,ACME Fuels GmbH
PLT-IN-02,02-14-2026,4900001994,Diesel,-437,ltr,OPS-6724,ACME Fuels GmbH
PLT-US-03,15.02.2026,4900001995,Natural Gas,65511,therm,OPS-4969,ACME Fuels GmbH
PLT-UK-04,2026/02/16,4900001996,Diesel,22856,therm,OPS-4253,Northstar Energy
PLT-DE-01,02-17-2026,4900001997,BioFuel-X,15054,L,OPS-5533,ACME Fuels GmbH
PLT-DE-01,18.02.2026,4900001998,BioFuel-X,22865,Liters,OPS-5546,Delhi Gas Utility
PLT-IN-02,2026/02/19,4900001999,Petrol,72987,ltr,OPS-6011,Metro Industrial Fuels
PLT-IN-02,02-20-2026,4900002000,Natural Gas,37548,ltr,OPS-5777,Delhi Gas Utility
PLT-DE-01,21.02.2026,4900002001,Diesel,11324,gal,OPS-4833,ACME Fuels GmbH
PLT-US-03,2026/02/22,4900002002,BioFuel-X,18473,L,OPS-6327,ACME Fuels GmbH
PLT-SG-05,02-23-2026,4900002003,BioFuel-X,44707,ltr,OPS-4778,Delhi Gas Utility
PLT-SG-05,24.02.2026,4900002004,Petrol,74809,therm,OPS-5460,Delhi Gas Utility
PLT-UK-04,2026/02/25,4900002005,BioFuel-X,8852,therm,OPS-4290,ACME Fuels GmbH
PLT-US-03,02-26-2026,4900002006,Diesel,16721,gal,OPS-4483,Metro Industrial Fuels
PLT-SG-05,27.02.2026,4900002007,LPG,30271,L,OPS-5355,ACME Fuels GmbH
PLT-US-03,2026/02/28,4900002008,BioFuel-X,29412,Liters,OPS-6880,Northstar Energy
PLT-US-03,03-01-2026,4900002009,Diesel,8956,ltr,OPS-6188,Delhi Gas Utility
PLT-SG-05,02.03.2026,4900002010,Petrol,67913,gal,OPS-5635,ACME Fuels GmbH
PLT-SG-05,2026/03/03,4900002011,BioFuel-X,71607,L,OPS-5077,ACME Fuels GmbH
PLT-UK-04,03-04-2026,4900002012,Petrol,4280,Liters,OPS-4821,Northstar Energy
PLT-IN-02,05.03.2026,4900002013,LPG,7834,ltr,OPS-5350,ACME Fuels GmbH
PLT-DE-01,2026/03/06,4900002014,LPG,30932,therm,OPS-6498,ACME Fuels GmbH
PLT-UK-04,03-07-2026,4900002015,LPG,45380,L,OPS-6508,ACME Fuels GmbH
PLT-IN-02,08.03.2026,4900002016,Petrol,72326,therm,OPS-6962,ACME Fuels GmbH
PLT-UK-04,2026/03/09,4900002017,LPG,13689,L,OPS-4922,Northstar Energy
PLT-US-03,03-10-2026,4900002018,Natural Gas,56609,therm,OPS-4087,ACME Fuels GmbH
PLT-SG-05,11.03.2026,4900002019,LPG,3504,ltr,OPS-5553,ACME Fuels GmbH
PLT-DE-01,2026/03/12,4900002020,BioFuel-X,72466,therm,OPS-5545,Delhi Gas Utility
PLT-SG-05,03-13-2026,4900002021,Natural Gas,56374,therm,OPS-4473,Metro Industrial Fuels
PLT-US-03,14.03.2026,4900002022,Petrol,15515,gal,OPS-4793,Northstar Energy
PLT-IN-02,2026/03/15,4900002023,Natural Gas,57266,L,OPS-4376,ACME Fuels GmbH
PLT-SG-05,03-16-2026,4900002024,LPG,29819,therm,OPS-4187,ACME Fuels GmbH
PLT-DE-01,17.03.2026,4900002025,Diesel,32807,L,OPS-4519,Metro Industrial Fuels
PLT-DE-01,2026/03/18,4900002026,Petrol,23720,Liters,OPS-5432,Delhi Gas Utility
PLT-SG-05,03-19-2026,4900002027,BioFuel-X,38377,ltr,OPS-5960,ACME Fuels GmbH
PLT-US-03,20.03.2026,4900002028,LPG,10116,L,OPS-4843,Metro Industrial Fuels
PLT-UK-04,2026/03/21,4900002029,Petrol,46837,ltr,OPS-5502,Northstar Energy
PLT-US-03,03-22-2026,4900002030,Petrol,32058,gal,OPS-6858,ACME Fuels GmbH
PLT-UK-04,23.03.2026,4900002031,LPG,7127,Liters,OPS-5991,Northstar Energy
PLT-IN-02,2026/03/24,4900002032,LPG,10332,ltr,OPS-4944,Northstar Energy
PLT-DE-01,03-25-2026,4900002033,Petrol,72528,ltr,OPS-6969,Delhi Gas Utility
PLT-UK-04,26.03.2026,4900002034,BioFuel-X,4751,ltr,OPS-4467,ACME Fuels GmbH
PLT-US-03,2026/03/27,4900002035,Petrol,65442,L,OPS-6409,Metro Industrial Fuels
PLT-DE-01,03-28-2026,4900002036,Petrol,39425,L,OPS-6497,Metro Industrial Fuels
PLT-UK-04,29.03.2026,4900002037,BioFuel-X,64977,L,OPS-5818,ACME Fuels GmbH
PLT-UK-04,2026/03/30,4900002038,Natural Gas,29468,ltr,OPS-6703,Metro Industrial Fuels
PLT-US-03,03-31-2026,4900002039,Diesel,69844,L,OPS-6218,Northstar Energy
PLT-US-03,01.04.2026,4900002040,Petrol,3456,gal,OPS-6420,Delhi Gas Utility
PLT-SG-05,2026/04/02,4900002041,BioFuel-X,3634,Liters,OPS-5751,ACME Fuels GmbH
PLT-UK-04,04-03-2026,4900002042,Petrol,14364,gal,OPS-6190,Metro Industrial Fuels
PLT-SG-05,04.04.2026,4900002043,LPG,55602,gal,OPS-5065,Delhi Gas Utility
PLT-IN-02,2026/04/05,4900002044,Natural Gas,50026,therm,OPS-4062,Northstar Energy
PLT-IN-02,04-06-2026,4900002045,LPG,36015,L,OPS-5211,Northstar Energy
PLT-DE-01,07.04.2026,4900002046,LPG,74902,therm,OPS-5123,Northstar Energy
PLT-SG-05,2026/04/08,4900002047,Diesel,35275,Liters,OPS-4509,Northstar Energy
PLT-US-03,04-09-2026,4900002048,Natural Gas,74556,Liters,OPS-5817,Metro Industrial Fuels
PLT-DE-01,10.04.2026,4900002049,BioFuel-X,2313,therm,OPS-4151,Northstar Energy
PLT-IN-02,2026/04/11,4900002050,BioFuel-X,62991,gal,OPS-4239,ACME Fuels GmbH
PLT-SG-05,04-12-2026,4900002051,Petrol,36284,gal,OPS-4262,Metro Industrial Fuels
PLT-US-03,13.04.2026,4900002052,Petrol,23617,Liters,OPS-6027,Delhi Gas Utility
PLT-IN-02,2026/04/14,4900002053,LPG,29858,ltr,OPS-6686,ACME Fuels GmbH
PLT-DE-01,04-15-2026,4900002054,Natural Gas,30546,L,OPS-6803,Metro Industrial Fuels
PLT-SG-05,16.04.2026,4900002055,Natural Gas,41643,L,OPS-4249,Northstar Energy
PLT-US-03,2026/04/17,4900002056,LPG,33793,L,OPS-6942,ACME Fuels GmbH
PLT-DE-01,04-18-2026,4900002057,Diesel,30812,Liters,OPS-6076,Metro Industrial Fuels
PLT-DE-01,19.04.2026,4900002058,Natural Gas,14885,gal,OPS-4835,Northstar Energy
PLT-UK-04,2026/04/20,4900002059,Diesel,74808,Liters,OPS-6629,Metro Industrial Fuels
PLT-DE-01,04-21-2026,4900002060,Petrol,37154,ltr,OPS-6486,Northstar Energy
PLT-US-03,22.04.2026,4900002061,BioFuel-X,43957,therm,OPS-5204,ACME Fuels GmbH
PLT-DE-01,2026/04/23,4900002062,Petrol,21062,Liters,OPS-4614,ACME Fuels GmbH
PLT-IN-02,04-24-2026,4900002063,Petrol,13974,gal,OPS-6092,Northstar Energy
PLT-SG-05,25.04.2026,4900002064,Diesel,28213,therm,OPS-6691,Delhi Gas Utility
PLT-DE-01,2026/04/26,4900002065,Natural Gas,50000,L,OPS-6315,Metro Industrial Fuels
PLT-SG-05,04-27-2026,4900002066,Diesel,70693,L,OPS-6486,Metro Industrial Fuels
PLT-UK-04,28.04.2026,4900002067,Petrol,68790,gal,OPS-5102,Delhi Gas Utility
PLT-US-03,2026/04/29,4900002068,Natural Gas,38462,ltr,OPS-5482,Delhi Gas Utility
PLT-DE-01,04-30-2026,4900002069,Natural Gas,59795,Liters,OPS-5822,Metro Industrial Fuels
PLT-US-03,01.05.2026,4900002070,LPG,47482,L,OPS-6071,ACME Fuels GmbH
PLT-SG-05,2026/05/02,4900002071,Natural Gas,47536,therm,OPS-5838,Metro Industrial Fuels
PLT-IN-02,05-03-2026,4900002072,LPG,30165,gal,OPS-5003,Metro Industrial Fuels
PLT-US-03,04.05.2026,4900002073,Petrol,18156,gal,OPS-5399,Northstar Energy
PLT-UK-04,2026/05/05,4900002074,BioFuel-X,15511,L,OPS-6068,Delhi Gas Utility
PLT-IN-02,05-06-2026,4900002075,BioFuel-X,64825,ltr,OPS-4063,Delhi Gas Utility
PLT-US-03,07.05.2026,4900002076,LPG,15882,therm,OPS-6913,Metro Industrial Fuels
PLT-DE-01,2026/05/08,4900002077,BioFuel-X,13287,ltr,OPS-4098,Delhi Gas Utility
PLT-SG-05,05-09-2026,4900002078,LPG,9620,ltr,OPS-5589,Metro Industrial Fuels
PLT-UK-04,10.05.2026,4900002079,LPG,46497,ltr,OPS-4988,Northstar Energy
PLT-US-03,2026/05/11,4900002080,LPG,15651,Liters,OPS-6493,ACME Fuels GmbH
PLT-US-03,05-12-2026,4900002081,BioFuel-X,5979,L,OPS-5674,Metro Industrial Fuels
PLT-UK-04,13.05.2026,4900002082,Natural Gas,57156,Liters,OPS-4751,ACME Fuels GmbH
PLT-SG-05,2026/05/14,4900002083,LPG,20006,L,OPS-5515,Metro Industrial Fuels
PLT-UK-04,05-15-2026,4900002084,Natural Gas,49775,Liters,OPS-6083,Northstar Energy
PLT-US-03,16.05.2026,4900002085,BioFuel-X,12750,ltr,OPS-5397,ACME Fuels GmbH
PLT-SG-05,2026/05/17,4900002086,LPG,73991,gal,OPS-6081,Metro Industrial Fuels
PLT-UK-04,05-18-2026,4900002087,Petrol,37439,Liters,OPS-4730,Delhi Gas Utility
PLT-UK-04,19.05.2026,4900002088,LPG,5546,ltr,OPS-5139,Northstar Energy
PLT-US-03,2026/05/20,4900002089,Natural Gas,13087,Liters,OPS-4485,Northstar Energy
PLT-UK-04,05-21-2026,4900002090,Natural Gas,35943,therm,OPS-4693,Northstar Energy
PLT-DE-01,22.05.2026,4900002091,Natural Gas,34053,gal,OPS-6729,Northstar Energy
PLT-IN-02,2026/05/23,4900002092,LPG,18531,L,OPS-6083,Delhi Gas Utility
PLT-DE-01,05-24-2026,4900002093,LPG,3634,gal,OPS-6203,Delhi Gas Utility
PLT-DE-01,25.05.2026,4900002094,Petrol,923,therm,OPS-4832,Northstar Energy
PLT-UK-04,2026/05/26,4900002095,LPG,74913,therm,OPS-4516,Metro Industrial Fuels
PLT-DE-01,05-27-2026,4900002096,BioFuel-X,38708,L,OPS-5770,Metro Industrial Fuels
PLT-IN-02,28.05.2026,4900002097,Petrol,34529,L,OPS-6996,ACME Fuels GmbH
PLT-IN-02,2026/05/29,4900002098,Diesel,46412,L,OPS-5339,Delhi Gas Utility
PLT-US-03,05-30-2026,4900002099,BioFuel-X,66511,Liters,OPS-6583,ACME Fuels GmbH
PLT-UK-04,01.01.2026,4900002100,Diesel,41312,L,OPS-6888,Northstar Energy
PLT-DE-01,2026/01/02,4900002101,Diesel,25005,gal,OPS-5007,Delhi Gas Utility
PLT-IN-02,01-03-2026,4900002102,Petrol,49360,ltr,OPS-5925,Delhi Gas Utility
PLT-UK-04,04.01.2026,4900002103,Petrol,63555,ltr,OPS-4539,Delhi Gas Utility
PLT-IN-02,2026/01/05,4900002104,Diesel,11677,gal,OPS-5778,ACME Fuels GmbH
PLT-SG-05,01-06-2026,4900002105,Natural Gas,64365,gal,OPS-6908,Delhi Gas Utility
PLT-US-03,07.01.2026,4900002106,LPG,5137,therm,OPS-5557,Delhi Gas Utility
PLT-SG-05,2026/01/08,4900002107,Natural Gas,45755,therm,OPS-5229,Delhi Gas Utility
PLT-UK-04,01-09-2026,4900002108,BioFuel-X,38338,therm,OPS-6448,Northstar Energy
PLT-US-03,10.01.2026,4900002109,Diesel,71276,therm,OPS-4896,ACME Fuels GmbH
PLT-UK-04,2026/01/11,4900002110,Petrol,37703,therm,OPS-5013,Metro Industrial Fuels
PLT-UK-04,01-12-2026,4900002111,Petrol,15230,ltr,OPS-6705,ACME Fuels GmbH
PLT-IN-02,13.01.2026,4900002112,BioFuel-X,45607,therm,OPS-6003,Metro Industrial Fuels
PLT-US-03,2026/01/14,4900002113,Petrol,30833,L,OPS-6078,Delhi Gas Utility
PLT-SG-05,01-15-2026,4900002114,Petrol,53659,L,OPS-5071,Northstar Energy
PLT-UK-04,16.01.2026,4900002115,BioFuel-X,53950,therm,OPS-5632,Northstar Energy
PLT-UK-04,2026/01/17,4900002116,Natural Gas,7210,Liters,OPS-5391,ACME Fuels GmbH
PLT-UK-04,01-18-2026,4900002117,Natural Gas,40487,therm,OPS-6344,Delhi Gas Utility
PLT-DE-01,19.01.2026,4900002118,LPG,70306,ltr,OPS-6501,Northstar Energy
PLT-SG-05,2026/01/20,4900002119,Diesel,16986,gal,OPS-6958,ACME Fuels GmbH
PLT-US-03,01-21-2026,4900002120,Petrol,49750,L,OPS-6264,ACME Fuels GmbH
PLT-IN-02,22.01.2026,4900002121,Petrol,6500,gal,OPS-6193,Delhi Gas Utility
PLT-UK-04,2026/01/23,4900002122,Natural Gas,20627,gal,OPS-5188,Delhi Gas Utility
PLT-UK-04,01-24-2026,4900002123,Natural Gas,49055,Liters,OPS-6264,Delhi Gas Utility
PLT-DE-01,25.01.2026,4900002124,LPG,1837,L,OPS-4419,Metro Industrial Fuels
PLT-IN-02,2026/01/26,4900002125,Petrol,63606,L,OPS-5234,ACME Fuels GmbH
PLT-DE-01,01-27-2026,4900002126,Petrol,30197,ltr,OPS-4506,Metro Industrial Fuels
PLT-US-03,28.01.2026,4900002127,Diesel,52577,ltr,OPS-4313,ACME Fuels GmbH
PLT-DE-01,2026/01/29,4900002128,Diesel,66177,therm,OPS-6218,Delhi Gas Utility
PLT-UK-04,01-30-2026,4900002129,Natural Gas,12574,gal,OPS-6480,Northstar Energy
PLT-SG-05,31.01.2026,4900002130,Diesel,42481,therm,OPS-5237,Northstar Energy
PLT-DE-01,2026/02/01,4900002131,Petrol,60199,ltr,OPS-6687,Metro Industrial Fuels
PLT-UK-04,02-02-2026,4900002132,Diesel,49409,Liters,OPS-4910,Metro Industrial Fuels
PLT-UK-04,03.02.2026,4900002133,Petrol,73580,Liters,OPS-6878,Delhi Gas Utility
PLT-UK-04,2026/02/04,4900002134,BioFuel-X,50173,L,OPS-5526,ACME Fuels GmbH
PLT-SG-05,02-05-2026,4900002135,Diesel,59329,ltr,OPS-5627,Delhi Gas Utility
PLT-UK-04,06.02.2026,4900002136,LPG,58650,Liters,OPS-4446,Northstar Energy
PLT-DE-01,2026/02/07,4900002137,Diesel,43622,ltr,OPS-6297,Delhi Gas Utility
PLT-SG-05,02-08-2026,4900002138,Natural Gas,27271,therm,OPS-4343,Delhi Gas Utility
PLT-UK-04,09.02.2026,4900002139,LPG,52897,gal,OPS-6961,Delhi Gas Utility
PLT-US-03,2026/02/10,4900002140,BioFuel-X,7774,therm,OPS-5275,Northstar Energy
PLT-US-03,02-11-2026,4900002141,LPG,19791,L,OPS-6452,Metro Industrial Fuels
PLT-IN-02,12.02.2026,4900002142,LPG,780,Liters,OPS-6001,Metro Industrial Fuels
PLT-US-03,2026/02/13,4900002143,BioFuel-X,41077,ltr,OPS-6903,Metro Industrial Fuels
PLT-DE-01,02-14-2026,4900002144,Diesel,67477,gal,OPS-5743,ACME Fuels GmbH
PLT-DE-01,15.02.2026,4900002145,Natural Gas,49291,ltr,OPS-6129,ACME Fuels GmbH
PLT-UK-04,2026/02/16,4900002146,Diesel,21833,ltr,OPS-4159,Metro Industrial Fuels
PLT-SG-05,02-17-2026,4900002147,BioFuel-X,64954,ltr,OPS-4572,Metro Industrial Fuels
PLT-US-03,18.02.2026,4900002148,Diesel,52400,L,OPS-5783,Northstar Energy
PLT-US-03,2026/02/19,4900002149,LPG,35584,gal,OPS-5522,Delhi Gas Utility
PLT-SG-05,02-20-2026,4900002150,Natural Gas,18598,Liters,OPS-6514,Northstar Energy
